lib,samplename,genome,basepath
113159,TMD8_input,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113159
113160,HBL1_input,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113160
113161,MUTZ5_input,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113161
113162,MHHCALL3_input,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113162
113163,WSUDLCL2_input,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113163
113164,DB_input,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113164
113165,SUDHL4_input,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113165
113166,BJAB_input,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113166
113167,TMD8_H3K27ac,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113167
113168,HBL1_H3K27ac,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113168
113169,MUTZ5_H3K27ac,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113169
113170,MHHCALL3_H3K27ac,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113170
113171,WSUDLCL2_H3K27ac,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113171
113172,DB_H3K27ac,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113172
113173,SUDHL4_H3K27ac,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113173
113174,BJAB_H3K27ac,hg19,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113174
113175,GJ_wt,mm10,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113175
113176,GJ_cko,mm10,/nfs/turbo/path-rjhryan-turbo/data-ryanlab/ngs_raw_data/20180628_Run_2432_H3k27ac_ChIPSeq/ryan/Sample_113176
